company,description,experience,location,salary,technologies,title
Merge Rocks,"<div class=""b-typo vacancy-section"">
				<p>We are looking for a <strong>Senior Full-stack Engineer (Python, Node.js, React) who will join a team of our partner, Pypestream , </strong>and<strong> </strong>work with them directly. </p><p>You would be embedded in Pypestream Pro team and be working directly with the production team on their existing product offerings. Updating Python code, improving it, but also adding features and functionality to the frontend (React) and also some middleware (NodeJS). </p><p>This platform will be a combination of low code / no code tools that will be developed by our engineering team and be used by our customers to create customer service automation solutions which can be delivered to their customers. As a Senior Engineer, you’ll translate product requirements into true product technology solutions that will ship to our customers in a timely manner and committed to both quality and security. You’ll work directly with Product team to ensure that you have an understanding of the requirements and will coach, mentor and lead your teammates through to successful launches of releases and follow and help develop engineering ""best practice“’. As a Senior Engineer you will be a difference maker on the team and lead by example with a “Give a damn” mentality, motivated, and great with figuring out solutions to a given problem.</p><h3>What we expect:</h3><ul><li><strong>6+ years </strong>of demonstrable experience; </li><li><strong>Strong proficiency in Python. SQLAlchemy, Flask, Gunicorn.</strong> You should have some level of experience around those frameworks. We do not use DJango and use Python for our automation and data engineering; <strong></strong></li><li>Self-starter with good communication skills and at a senior level who can take on complicated tasks; </li><li>Proficiency in Node.js, React.js; </li><li>Proficiency with PostgreSQL or another SQL technology; </li><li>Experience with common front-end tooling and technologies:<br>Webpack, NPM, NPM Publishing<br>Cypress, ViTest<br>Sass (SCSS)<br>Pub/Sub, Websockets, JSON Schema<br>Isomorphic rendering<br>Monorepo experience<br>Prettier, Eslint, Stylelint, etc</li><li>Experience with code versioning tools with Git, Github Actions; </li><li>Experience State Management, ideally <nobr>x-state;</nobr> </li><li>Strong understanding of Web Components (i.e. Lit Element). </li></ul><h3>What you’ll be doing?</h3><ul><li>Work as a full-stack developer on existing offering and be working with Python, Node.js and React. <strong>The majority of the work will be with Python; </strong></li><li>Updating Python code, improving it, but also adding features and functionality to the frontend (React) and also some middleware (NodeJS); </li><li>Lead small to <nobr>mid-sized</nobr> engineering projects but also be a highly productive individual contributor; </li><li>Write modern, high quality frontend / full-stack glue code connecting backend and frontend systems; “back of the frontend” application / business logic; </li><li>Shared responsibility in code reviews, tag-team on solving problems; </li><li>Contribute in improving automated testing coverage (unit, E2E, VRT); </li><li>Writing modern, high quality frontend / full-stack glue code connecting backend and frontend systems; “back of the frontend” application / business logic; </li><li>Conduct Cross-team collaboration (other frontend / full-stack engineers, design, and product); </li><li>Provide feedback on design (Figma) comps, product requirement docs; break down and define the work (for self + delegation); </li><li>Help your team write better, more maintainable code.</li></ul><p><strong>Benefits: </strong></p><ul><li>Join a team of skilled developers where you’ll have opportunities to collaborate, learn, and grow in a supportive, expert environment. You’ll work on a stable product—not a startup—offering you the confidence of long-term job stability;</li><li>Fully remote job; </li><li>Unlimited Time Off &amp; Sick Leave; </li><li>All International holidays are paid time off; </li><li>Equity in the company. Options in the company which are valued based on share price at the time of issue; </li><li>Annual birthday bonus; </li><li>$100 USD a month for a single meal on the company.</li></ul>
			</div>",5plus,віддалено,,"python,django,react,flask,sqlalchemy,postgresql,git","Senior Full-Stack Developer (Python, Node, React)"
PLANEKS,"<div class=""b-typo vacancy-section"">
				<p><b>Let’s start with what PLANEKS offers:</b> <br>0. Fast and comfortable hiring process.<br>1. 100% remote work opportunity and flexitime — choose working hours between <nobr>8:00-20:00.</nobr><br>2. Manage your compensation $$$$ budget — Travel tickets, Work equipment, Health insurance, Software, Sport, Training.<br>3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings.<br>4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends.<br>5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we’re proud of how we handle that. So you can always count on us.<br>6. Speaking clubs with a native speaker to constantly maintain your English level.<br>7. No bureaucracy — transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.<br><br>We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!<br><br><b>This position supposes that you have the following knowledge and competencies:<br></b>— 5+ years of commercial software engineering experience using Python for Web.<br>— Strong soft skills including leadership — ability to hire, develop, inspire, motivate, train and manage the team to meet high goals.<br>— Knowledge of Python frameworks/CMSs.<br>— Knowledge of SQL and NoSQL databases.<br>— Knowledge of designing and writing APIs or RESTful endpoints.<br>— Multi-threading, asynchronous and microservice software development experience.<br>— Understanding of network principles (TCP / IP, DNS, HTTP, SSL).<br>— Knowledge of message streams and brokers RabbitMQ, Kafka, etc.<br>— Strong expertise in software design, development and development management<br>— Knowledge OOP, Architecture Patterns and Best Practices for tech solutions.<br>— Excellent English communication skills (both verbal and written).<br><br><b>Will be a plus</b> <br>— Knowledge of another programming language except for Python.<br>— Strong understanding of CI/CD process and cloud platforms.<br>— Experience with Machine Learning or Artificial Intelligence.<br>— Business-oriented approach.<br><br><b>Responsibilities</b> <br>— Being on the edge of technology, management, and business.<br>— Working with the founders on directions and goals for the development team.<br>— Technical mentoring and coaching of developers.<br>— Being a part of recruitment processes.<br>— Integrate the newest technologies and approaches which will be used by other developers in the company.<br>— Constantly adding value to the experience of our customers<br>... and coding!</p>
			</div>",5plus,віддалено,,"python,rabbitmq,async,asynchronous,kafka,nosql,ci/cd",Python Tech Lead
Binariks,"<div class=""b-typo vacancy-section"">
				<p><strong>Binariks </strong>is looking for a highly motivated and skilled Middle/Senior Backend Engineer to join the team<br><strong>About the project: </strong>Our client’s company leads the digital transformation of surgery. First-of-its-kind healthcare platform brings together telepresence, content management, and data insights to enable hospitals, surgeons, and device companies to share information and expertise.<br><br><strong>What We’re Looking For</strong> <br>— 5+ years of development experience in an agile/scrum environment<br>— Extensive experience with AWS<br>— Experience with Terraform<br>— Comfortable in writing Node and Python scripts to support CI/CD developments<br>— Excellent written and verbal communication skills with customers<br>— Upper-intermediate level of spoken and written English<br><br><strong>Your Responsibilities</strong> <br>— Work closely with the Quality Engineering team to support the changes to implement to speed up CI and CD<br>— Independently identify the right solutions to solve ambiguous, open-ended problems<br>— Develop high-quality software design and architecture following the internal standards, policies, and best practices<br>— Specify uncertain requirements and proactively spread them through the team<br>— Collaborate with internal teams to fix and improve product<br>— Proactively contributes to improvements in the observability and quality of the system</p>
			</div>",5plus,віддалено,,"python,aws,ci/cd,git,agile",Middle/Senior Backend engineer (Node + Python)
Numerical Technologies Ltd,"<div class=""b-typo vacancy-section"">
				<p>Numerical Technologies is a leading provider of custom software solutions and services specializing in risk, limits, and regulatory capital. Right now, we are looking for a Python Developer to join our team and contribute to the adaptation and optimization of our systems due to transition to a new, custom Graph Parallel Framework. This role involves working on existing data pipelines, configurations, and API endpoints to ensure they are optimized for performance and fully compatible with the new framework.</p><p> </p><p><strong>Key Responsibilities:</strong></p><ul><li>Adapt and refactor existing data pipelines to integrate seamlessly with the custom Graph Parallel Framework.</li><li>Update and optimize configuration files to support the new framework, ensuring smooth transitions without disrupting existing functionalities.</li><li>Refactor and optimize API endpoints to work efficiently within the newly structured pipelines.</li><li>Focus on maximizing system performance, with particular attention to reducing execution time and optimizing memory usage.</li><li>Work closely with cross-functional teams to ensure the successful integration and deployment of the custom framework.</li></ul>

<p> <strong>Qualifications:</strong></p><ul><li>Solid experience in Python development.</li><li>Proficiency with SQL and experience working with databases, preferably ClickHouse.</li><li>Strong understanding of algorithms and data structures.</li><li>Experience with FastAPI and Linux environments.</li><li>Ability to adapt existing systems to new frameworks and technologies.</li><li>Strong problem-solving skills and ability to collaborate effectively in a team environment.</li></ul><p><br><b>We offer:</b> <br>◼️ Competitive compensation depending on experience and skills<br>◼️ Regular assessments and salary reviews<br>◼️ Paid personal days<br>◼️ Health insurance<br>◼️ Partial gym compensation<br>◼️ English/Polish/Spanish language classes<br>◼️ Flexible working schedule<br>◼️ Friendly team and enjoyable working environment</p>
			</div>",5plus,"за кордоном,віддалено",,"python,linux",Senior Python Developer
Newxel,"<div class=""b-typo vacancy-section"">
				<p>We’re on the lookout for a sharp, professional, and dedicated <b>Senior</b> <b>Backend Engineer</b> to bolster our talented R&amp;D team. If you’re passionate about solving hard problems using creativity and state-of-the-art technologies and looking for a cool-vibe workplace, great people, never-ending challenges and much more — your place is with them!</p><h3>Responsibilities</h3><ul><li>Influence — take part in day-to-day discussions on the direction, design and architecture of our product</li><li>HO End-to-end development of software components, constantly re-inventing and improving our infrastructures and tech stack to meet our scale expectations from an engineering standpoint</li><li>The ability to create technical designs for complex problems</li><li>Assist other team members with code and design reviews and provide constructive feedback</li><li>Be a part of a team of passionate, hard-working and super-professional back-end developers</li><li>Gain a deep, wide and solid understanding of the World Wide Web (Surface, Deep and Dark parts)</li><li>Improve and promote our innovative tech-stack — play and asses tools we should adopt</li><li>Work in, out and around AWS</li><li>Work with a wonderful group of colleagues and decision-makers in various interfaces</li></ul><h3>Requirements</h3><ul><li><b>A minimum of 5 years’ experience in developing complex backend systems</b></li><li><b>At least 3 years’ proficiency in Python (production environment)</b></li><li>Demonstrated ability to produce high-performance, maintainable, and reusable code</li><li>Expertise in high-level design and architectural practices</li><li>Proficiency with cloud technologies and services, such as AWS (EC2, S3, Lambda, Streaming, EMR, EKS)</li><li>Experience with ElasticSearch, MongoDB, Redis</li><li>Skilled in Kubernetes and Docker</li><li>Agile methodology practitioner</li><li>Experience in a Production SaaS environment</li><li>Strong command of Linux environments</li><li>Advanced English, both written and verbal</li></ul><h3>Tech Stack</h3><ul><li>SaaS Web Application</li><li>AWS cloud</li><li>Kubernetes &amp; Microservices architecture</li><li>Databases — MySQL, ElasticSearch, Redis, MongoDB, Kafka</li><li>Monitoring tools — Prometheus, Grafana, Kibana etc</li></ul><h3>What we offer</h3><ul><li>Competitive salary and benefits package</li><li>Medical insurance</li><li>Tax compensation</li><li>Full Remote</li><li>Collaborative and innovative work environment</li><li>Career growth and development opportunities</li><li>A chance to work with a talented and driven team of professional</li></ul><h3>About the project</h3><p>Since the amount of cyber threats and dark web sources is growing every day, products for their elimination are critically needed. Our partner, a high-tech software company from Israel, took on this challenge. They offer cyber threat intelligence (CTI) solutions for cybersecurity teams to reveal their most critical known and unknown digital risks earlier. The team develops its CTI &amp; Attack SaaS platform to prevent, detect, investigate, and remediate phishing, fraud, data leaks, and external vulnerabilities. </p><p>The company raised $40 mln in the last investment round to boost go-to-market efforts. Clients are more than 100 companies worldwide, including Fortune 500 leaders, in the financial, retail, gaming, entertainment and media industries.</p>
			</div>",5plus,віддалено,,"python,mongodb,kafka,redis,docker,linux,aws,grafana,kubernetes,git,microservices,mysql,agile",Senior Backend Engineer (Python)
DBB Software,"<div class=""b-typo vacancy-section"">
				<p><b>Role Overview</b></p><p>We are searching for a talented <b>Senior Backend Engineer </b>to join our dynamic team. As a pivotal member of our growing startup, you’ll have the chance to significantly influence the development of our Security SaaS platform.<br><br></p><p><b>About Us</b></p><p>At DBBS, we are committed to securing the future of intelligent computing. As we advance toward a future dominated by AI-driven applications, we are laying the security groundwork that will enable this transformation. Our mission is to empower innovators, providing them with the confidence to explore and create in this evolving landscape. We collaborate with Fortune 500 companies, startups, and foundation model providers to safeguard their innovations and users from potential threats<br><br></p><p><b>Key Responsibilities</b></p><ul><li>Collaborate closely with cross-functional teams, including frontend engineers, product managers, and DevOps, to deliver top-tier web applications tailored for cybersecurity professionals.</li><li>Design, develop, test, and maintain scalable and efficient backend systems using Python and Flask.</li><li>Optimize and manage our storage solutions, leveraging relational databases and key-value stores such as AWS RDS and Redis.</li><li>Work with AWS ECS and EKS orchestration frameworks, crafting ECS task specifications and Kubernetes deployments using YAML, Terraform, and Helm.</li><li>Build, test, and maintain RESTful APIs to support frontend applications and third-party integrations.</li><li>Develop and maintain our AWS infrastructure with Terraform.</li><li>Integrate third-party SaaS services like Auth0 for authentication and user management, and Stripe for billing processes.</li><li>Set up and maintain observability components using OpenTelemetry, Prometheus, and Grafana.</li><li>Participate in code reviews, providing and receiving constructive feedback to enhance code quality.</li><li>Optimize applications for peak performance and scalability.</li><li>Package and deploy applications using CI/CD pipelines and containerization.<br><br></li></ul><p><b>Qualifications</b></p><ul><li>Bachelor’s or Master’s degree in Computer Science or a related field.</li><li>6+ years of experience in backend development using Python and Flask (or FastAPI).</li><li>3+ years of experience in building backends for data analytics dashboards.</li><li>3+ years of experience in deploying and scaling backends on Kubernetes clusters.</li><li>Strong understanding of relational databases, including schema design and optimization techniques.</li><li>Proficiency in Python 3, with a solid grasp of type checking using Pyright.</li><li>Deep knowledge of web application development, especially in Python, and request/response processing.</li><li>Expertise in developing and integrating RESTful APIs.</li><li>Experience with message queue services such as RabbitMQ or Kafka.</li><li>Familiarity with modern backend technologies and infrastructure, particularly Kubernetes and AWS ECS.</li><li>Understanding of microservices architecture.</li><li>Experience with observability tools like OpenTelemetry, Prometheus, and Grafana.</li><li>Hands-on experience with AWS services and scaling SaaS applications.</li><li>Experience implementing end-to-end product features using feature flags.</li><li>Skilled in measuring and optimizing backend performance.</li><li>Experience with containerization technologies, including Docker.</li><li>Experience collaborating with frontend engineers.</li><li>Proficiency in Agile software development methodologies.</li><li>Attention to detail and commitment to delivering high-quality work in a fast-paced environment.</li><li>Excellent verbal and written communication skills in English.</li></ul><p><b>Technologies, Languages, and Frameworks</b></p><ul><li>Expert knowledge of Python, Flask, and FastAPI.</li><li>Expert knowledge of SQL.</li><li>Proficiency in Terraform, Kubernetes, OpenTelemetry, Prometheus, and Grafana.</li><li>Familiarity with AWS services including EKS, ECS, CloudWatch, Lambda functions.</li><li>Experience with message queue systems like RabbitMQ, Kafka.</li><li>Knowledge of containerization with Docker.</li><li>Familiarity with tools such as Celery, Pip/Poetry, Git, GitLab, GitLab CI/CD, and Sentry.</li><li>Experience with load testing frameworks like Grafana k6 and unit testing frameworks like PyTest.</li></ul>
			</div>",5plus,Дніпро,,"python,rabbitmq,kafka,redis,celery,docker,aws,grafana,flask,kubernetes,ci/cd,git,scala,microservices,agile",Senior Python Engineer
DXC Luxoft,"<div class=""b-typo vacancy-section"">
				<p><strong>Project Description:</strong></p><p>We are looking for an experienced QA engineer to join a team focused on the development of complex medical prescription software for modern orthodontic solutions. The work includes full cycle of Quality Assurance.</p><p><strong>Responsibilities:</strong></p><p><a href=""https://luxhire.luxoft.com/hr/browse/HR-15523506"" target=""_blank""></a>• Design and develop automated tests for Web in close collaboration with the development team<br>• Maintenance of the required test documents (test cases, reports, etc.)<br>• Performance testing<br>• Proactive work in a distributed agile environment</p><p><strong>Mandatory Skills Description:</strong></p><p><a href=""https://luxhire.luxoft.com/hr/browse/HR-15523506"" target=""_blank""></a>• 4+ years of experience as an QA Automation Engineer<br>• Python programming skills<br>• Experience in backend test automation<br>• Experience in Web UI test automation (Selenium WebDriver)<br>• Knowledge about BDD approach<br>• Solid understanding of SDLC and QA processes, best practices, testing techniques, and methodologies<br>• Experience in popular CI tools (Atlassian suite preferred)<br>• BS or MS in Computer Science, Engineering, or Mathematics<br>• Good English written and verbal communication skills</p><p><strong>Nice-to-Have Skills Description:</strong></p><p><a href=""https://luxhire.luxoft.com/hr/browse/HR-15523506"" target=""_blank""></a>• Experience working with REST API testing tools<br>• Experience with CAD/CAM applications testing<br>• Experience with 3D applications testing</p><p><strong>Languages:</strong></p><ul><li>English: B2 Upper Intermediate</li></ul>
			</div>",5plus,віддалено,,"python,rest api,math,agile",Senior Test Automation Engineer w/ Python
Ciklum,"<div class=""b-typo vacancy-section"">
				<p><strong>Ciklum </strong>is looking for an <strong>Expert Python Developer</strong> to join our team full-time in Ukraine.</p>

<p>We are a custom product engineering company that supports both multinational organizations and scaling startups to solve their most complex business challenges. With a global team of over 4,000 highly skilled developers, consultants, analysts and product owners, we engineer technology that redefines industries and shapes the way people live.</p>

<p><strong>About the role:</strong></p>

<p>As an Expert Python Developer, become a part of a cross-functional development team working for a global software investor that partners with growth-stage technology and software companies. They have a deep focus in Fintech, Cybersecurity, AI/ML, DevOps, and Healthcare sectors. Across their people and their portfolio, they encourage a culture around a core belief growth equals opportunity. As of December 31, 2022, the firm has over $75B in regulatory assets under management. The Client has invested in more than 750 companies worldwide and has seen over 55 portfolio companies achieve an IPO. </p>

<h2>Responsibilities:</h2>

<ul>	<li>Design and implement complex backend features from conception through to deployment, ensuring they meet strategic business objectives</li>	<li>Write clean, secure, highly testable. scalable and well-documented code that adheres to coding standards and best practices</li>	<li>Perform comprehensive code reviews to ensure high code quality and facilitate knowledge sharing within the team</li>	<li>Actively participate in multiple aspects of the SDLC, including planning, development, testing, and deployment</li>	<li>Assist in upholding and enhancing the team's engineering and quality standards, and support team in adopting these</li>	<li>Engage in the technical interviewing process</li></ul>

<h2>Requirements:</h2>

<p>We know that sometimes, you can’t tick every box. We would still love to hear from you if you think you’re a good fit!</p>

<p>Software Design:</p>

<ul>	<li>In-depth understanding of paradigms and principles such as Object-Oriented Programming (OOP), SOLID, and GRASP</li>	<li>Proficient in documenting complex software solutions through comprehensive technical documentation and detailed diagrams</li></ul>

<p>Software development:</p>

<ul>	<li>Extensive expertise in Python and knowledge of essential third-party libraries and tools</li>	<li>Profound knowledge of Python frameworks like Flask, FastAPI and in-depth knowledge of their internal architecture</li>	<li>Deep understanding of RDBMS and NoSQL systems, experience crafting high-performance queries, executing optimizations, and designing database structures</li>	<li>Practical commercial experience in developing both monolithic and distributed systems</li>	<li>Experience in deploying and managing applications within cloud environments such as AWS, Azure, and Google Cloud</li></ul>

<p>Quality Assurance:</p>

<ul>	<li>Advanced proficiency with unittest, pytest, nose2 and other common testing tools</li>	<li>Demonstrated commitment to continuous quality enhancement on projects through conducting code reviews, establishing quality metrics, and monitoring them</li></ul>

<p>Software Deployment: </p>

<ul>	<li>Practical experience in utilizing application deployment patterns and tools</li>	<li>Hands-on experience configuring infrastructure with leading cloud service providers</li></ul>

<h2>What`s in it for you?</h2>

<ul>	<li>Care: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultations</li>	<li>Tailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy license, language courses and company-paid certifications</li>	<li>Growth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globally</li>	<li>Own your schedule — you are the one to decide when to start your working day. Just don’t miss your regular team stand-up</li>	<li>Opportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfill your potential</li>	<li>Global impact: work on large-scale projects that redefine industries with international and fast-growing clients</li>	<li>Welcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building events</li></ul>

<p><strong>About us:</strong></p>

<p>Discover the pros of <nobr>20-year</nobr> global experience! Join one of the largest IT companies in Ukraine, awarded as one of the top 10 employers in Ukraine by Forbes.<br>Boost your skills and make a difference with cutting-edge projects, skilled colleagues and the latest tech stacks.<br>Ciklum has been recognised as a veteran-friendly business by the Veteran Hub in Ukraine.<br>We're committed to creating a welcoming environment for veterans and developing processes that meet their needs. We value the skills and unique perspectives military veterans can bring to our business and are willing to support their transition to civilian life.</p>

<p><strong>Be bold, not bored!</strong><br>Interested already? We would love to get to know you! Submit your application. We can’t wait to see you at Ciklum.</p>
			</div>",5plus,"Київ,Львів,Дніпро,Вінниця,віддалено",,"python,nosql,aws,flask,scala",Expert Python Developer (240009RP)
KITRUM,"<div class=""b-typo vacancy-section"">
				<p><strong>🔍</strong> We are looking for a<strong> Senior Kotlin Backend Engineer </strong>to join our team for a project that has transitioned from website building to helping customers build businesses by offering various services.</p><p>As a Senior Kotlin Backend Engineer, you will be responsible for completing the migration of an existing system from Python to Kotlin. This system currently runs on Python 3.10 with Flask 1.1.2, and several modules have already been migrated to the new Kotlin codebase. Both codebases are running in production, and your task will be to finalize this migration.</p><p>This remote position, ideally suited for candidates located in the <strong>EEST or similar time zones</strong></p><h3><strong>🎯 Must-Have for the position:</strong></h3><p>— 5+ years of professional experience in Backend development;<br>— At least 2 years of experience in <strong>Kotlin Backend Engineering</strong>;<br>— Ability to modify frontend code at a very basic level (e.g., changing endpoint calls from Python APIs to Kotlin APIs);<br>— Strong communication skills and a collaborative mindset;<br>— <strong>English Level:</strong> Upper-Intermediate or higher.</p><h3>☝️ <strong>Will be a strong plus:</strong></h3><p>— Experience in Python and Flask;<br>— Understanding of Kafka, Kubernetes, and AWS;<br>— Basic exposure to front-end development or willingness to learn for minor changes.</p><h3>🤝 <strong>Responsibilities:</strong></h3><p>— Take end-to-end ownership of the migration project, working closely with the Project Lead and team;<br>— Attend daily syncs and collaborate with the team to achieve expected outcomes;<br>— Ensure seamless migration of the system from Python to Kotlin;</p><h3>💼 <strong>A bit about the project:</strong></h3><p>The client is a website builder platform that designed to help individuals and small businesses create professional websites without needing extensive technical knowledge or coding skills. It offers an intuitive drag-and-drop interface, customizable templates, and various tools for managing content, online stores, and SEO.<br><strong>Client’s country:</strong> Germany<br><strong>Tech Stack:</strong> Kotlin, Spring Boot, Python 3.10, Flask v1.1.2, PostgreSQL, Docker;<br><strong>Team Composition: </strong>Project Lead + Developers.</p><h3>📈 <strong>Working Conditions:</strong></h3><p>— <strong>Work schedule: </strong>Flexible with CET timezone overlap<br>— <strong>Type of work:</strong> Remote;<br>— <strong>Project duration:</strong> <nobr>3-6 months;</nobr><br>— <strong>Engagement Model:</strong> Outstaff.</p><h3>📋 <strong>Interview Process:</strong></h3><p>— <strong>HR Interview:</strong> Initial discussion with our recruiter;<br>— <strong>KITRUM’s Technical Interview:</strong> Technical questions;<br>— <strong>Client’s</strong> <strong>Test Task</strong>: Technical challenge: can be either an offline task (like a coding assignment completed at home) or an online whiteboarding call;<br>— <strong>Client’s</strong> <strong>Technical Interview</strong>: Pair Programming call: ~ session where the candidate works directly with an interviewer on coding problems or tasks in a pair programming format. We want to make sure we are looking at culture fit, communications skills, etc. in this call;</p><h3><strong>💡 Why You’ll Love Working Here:</strong></h3><p>— <strong>Competitive Pay: </strong>We offer a compensation that reflects your skills and experience;<br>— <strong>Remote Flexibility:</strong> Work from anywhere — our team is distributed across the globe;<br>— <strong>Inclusive Culture:</strong> We embrace diversity and foster a culture of trust, transparency, and mutual respect;</p><p>📲 If this vacancy isn’t for you but could be perfect for a friend/colleague, share it through this <a href=""https://kitrum.com/refer-a-friend/"" target=""_blank""><strong>link</strong></a> and earn a reward for your referral!</p>
			</div>",5plus,"Київ,Харків,віддалено",,"python,kafka,docker,aws,flask,postgresql,kubernetes",Senior Kotlin Backend Engineer
Windsor.ai,"<div class=""b-typo vacancy-section"">
				<p><a href=""http://windsor.ai/"" target=""_blank"">Windsor.ai</a> is connecting all of the worlds data.</p><p>Company</p><p>We are building a platform that makes it easy to connect any data source to any destination. There is more data being generated in the world every day, but the big problem is that the number of tools are also increasing so data has to be updated in multiple systems and tools. We are solving this problem.</p><p><a href=""http://Windsor.ai"" target=""_blank"">Windsor.ai</a> has been founded in 2017 in Zürich Switzerland. Now we have ca. 2500 paying customers, we are growing 80% per year and are profitable. Our customers include Puma, Audi, UBS, Asics and many more.</p><p>In the team we are around 15 persons working remotely, mostly from Europe. We are a very technical team and also sales and marketing everyone can write at least some SQL. Software engineers specialize in backend with python and frontend with react.</p><p>Product</p><p>We have built a data platform connecting to more than 300 different API’s. Big part of our work is dealing with all the complexity and variations in all the different API’s and scalability.</p><p>Technology</p><p>We are mostly programming in python and using quite advanced features of python. Most common tools we use:</p><ul><li>python : flask, threads, pytest-xdist</li><li>Redis, postgres</li><li>Linux, docker</li><li>React, redux for frontend</li></ul><p>For Software developers we typically look for</p><ul><li>4+ years of programming experience.</li><li>Good programming knowledge (OOP, mutable/immutable types etc.)</li><li>Like to work in a flat fast moving environment where you can have an impact</li></ul><p>How we work</p><p>We usually plan our work in two weeks intervals but the plan is not strict so there might be some priorities changed during the sprint. We use Taiga, Gitlab, CI/CD and merge request reviews.</p><p>Video about our culture:</p><p><iframe width=""640"" height=""360"" loading=""lazy"" src=""https://www.youtube.com/embed/Tjnaw4_Nljc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe> </p>
			</div>",5plus,віддалено,3000–5000,"python,redis,docker,linux,react,flask,ci/cd,git,scala",Python Senior Software Engineer
Luxe Quality,"<div class=""b-typo vacancy-section"">
				<p>We are looking for Senior Python+Django Dev with 5 years exp. to join our partners team.</p><p> </p><p><strong>Responsibilities: </strong></p><p>— Development, support and optimization of the backend part of web applications in Python (Django);</p><p> — Designing the architecture of complex financial products and solutions based on blockchain technologies;</p><p> — Interacting with development team, designers and product owners to ensure high product quality;</p><p> — API integration for interaction with external services and payment systems;</p><p>— Ensuring a high level of security and productivity of the software;</p><p> — Participation in code reviews and mentoring of junior developers.</p><p> </p><p> <strong>Requirements: </strong></p><p>— 5+ years of Python development experience and a minimum of 5 years of Django experience. </p><p>— Experience with financial systems (budgeting, transactions, payment gateways). </p><p>— Understanding of the basic principles of blockchain technologies, experience of integration with blockchain platforms (Ethereum, Hyperledger, Bitcoin, etc.);</p><p>— Knowledge and use of modern frameworks and libraries for working with financial projects and blockchain, such as:</p><p> — <strong>Django Rest Framework</strong> (for API creation) </p><p>— <strong>Celery</strong> (for asynchronous tasks)</p><p> — <strong><a href=""http://Web3.py"" target=""_blank"">Web3.py</a></strong> (for interaction with the Ethereum blockchain)</p><p> — <strong>Pandas</strong> and <strong>NumPy</strong> (for financial calculations and data analysis) </p><p>— <strong>Docker</strong> and <strong>Kubernetes</strong> (for containerization and orchestration). </p><p>— Experience working with databases (PostgreSQL, MySQL). </p><p>— Experience setting up CI/CD processes. </p><p>— Solid knowledge of Git and experience with GitFlow. </p><p>— English at Upper Intermediate level or higher. </p><p> </p><p>The bonus will be: — Experience with cloud services (AWS, GCP, Azure). — Experience working with DevOps practices.</p><h3> </h3><h3><strong>Про компанію Luxe Quality</strong></h3><p>Luxe Quality is a leading quality assurance and testing service provider, helping businesses succeed by creating a quality product. Our expertise reduces the risk of bugs and the cost of their fixing, increases competitiveness, the involvement of the target audience, and the desire to become regular users of your application.<br><br>About Luxe Quality experience in facts &amp; numbers:<br>— 175+ Projects<br>— 5 Rating on Clutch<br>— 70% Long-term Contracts<br>— 90% Iterative Contracts<br><br><strong>Сайт компанії:</strong> <br><a href=""https://luxequality.com/"" target=""_blank"">luxequality.com</a></p>
			</div>",5plus,віддалено,,"python,async,asynchronous,celery,docker,django,pandas,numpy,aws,postgresql,kubernetes,ci/cd,git,mysql",Senior Python+Django Developer
